qa,qb,B0,B1,Bdelta,born,l1,l0,delta_one_loop,total
0.0,0.25,-6.931471805599453,-24.02265069591007,1.0,0.05811278307395676,-0.14812265016362208,0.09202870490992834,0.008765304270250416,0.010784142090513435
0.25,0.5,1.3862943611198908,8.648154250527625,0.0,0.0,0.05332415405890394,-0.01840574098198567,0.0,0.03491841307691827
0.5,1.0,1.3862943611198908,6.726342194854821,0.0,0.0,0.04147434204581419,-0.01840574098198567,0.0,0.02306860106382852
1.0,2.0,1.3862943611198904,4.804530139182012,0.0,0.0,0.0296245300327244,-0.018405740981985667,0.0,0.011218789050738733
2.0,4.0,1.3862943611198906,2.882718083509208,0.0,0.0,0.017774718019634646,-0.018405740981985667,0.0,-0.0006310229623510202
4.0,8.0,1.3862943611198906,0.9609060278364028,0.0,0.0,0.0059249060065448824,-0.018405740981985667,0.0,-0.012480834975440783
