qa,qb,B0,B1,Bdelta,diag_singular_weight,ordinary_offzero_weight,offzero_difference
0.0,0.25,-6.931471805599453,-24.02265069591007,1.0,-1.3465188081661952,,
0.25,0.5,1.3862943611198908,8.648154250527625,0.0,0.6969620649091196,0.6969620649091197,-1.1102230246251565e-16
0.5,1.0,1.3862943611198908,6.726342194854821,0.0,0.49305147267317057,0.4930514726731707,-1.1102230246251565e-16
1.0,2.0,1.3862943611198904,4.804530139182012,0.0,0.2891408804372212,0.28914088043722125,-5.551115123125783e-17
2.0,4.0,1.3862943611198906,2.882718083509208,0.0,0.08523028820127214,0.08523028820127217,-2.7755575615628914e-17
4.0,8.0,1.3862943611198906,0.9609060278364028,0.0,-0.11868030403467701,-0.118680304034677,-1.3877787807814457e-17
